website,company,classification
walmart.com,Walmart,corporate
exxonmobil.com,Exxon Mobil,corporate
ge.com,General Electric,corporate
dupont.com,DuPont,corporate
avnet.com,Avnet,corporate
macysinc.com,Macy's,corporate
enterpriseproducts.com,Enterprise Products Partners,corporate
travelers.com,Travelers Cos.,corporate
pmi.com,Philip Morris International,corporate
riteaid.com,Rite Aid,corporate
techdata.com,Tech Data,corporate
aboutmcdonalds.com,McDonald's,corporate
qualcomm.com,Qualcomm,corporate
amerisourcebergen.com,AmerisourceBergen,corporate
searsholdings.com,Sears Holdings,corporate
capitalone.com,Capital One Financial,corporate
emc.com,EMC,corporate
usaa.com,USAA,corporate
duke-energy.com,Duke Energy,corporate
twc.com,Time Warner Cable,corporate
halliburton.com,Halliburton,corporate
northropgrumman.com,Northrop Grumman,corporate
arrow.com,Arrow Electronics,corporate
raytheon.com,Raytheon,corporate
verizon.com,Verizon,corporate
plainsallamerican.com,Plains GP Holdings,corporate
usfoods.com,US Foods,corporate
abbvie.com,AbbVie,corporate
centene.com,Centene,corporate
chs.net,Community Health Systems,corporate
arconic.com,Arconic,corporate
internationalpaper.com,International Paper,corporate
emerson.com,Emerson Electric,corporate
up.com,Union Pacific,corporate
amgen.com,Amgen,corporate
chevron.com,Chevron,corporate
usbank.com,U.S. Bancorp,corporate
staples.com,Staples,corporate
danaher.com,Danaher,corporate
whirlpoolcorp.com,Whirlpool,corporate
aflac.com,Aflac,corporate
autonation.com,AutoNation,corporate
progressive.com,Progressive,corporate
abbott.com,Abbott Laboratories,corporate
dollargeneral.com,Dollar General,corporate
tenethealth.com,Tenet Healthcare,corporate
costco.com,Costco,corporate
lilly.com,Eli Lilly,corporate
southwest.com,Southwest Airlines,corporate
penskeautomotive.com,Penske Automotive Group,corporate
manpowergroup.com,ManpowerGroup,corporate
kohlscorporation.com,Kohl's,corporate
starbucks.com,Starbucks,corporate
paccar.com,Paccar,corporate
cummins.com,Cummins,corporate
altria.com,Altria Group,corporate
xerox.com,Xerox,corporate
fanniemae.com,Fannie Mae,corporate
kimberly-clark.com,Kimberly-Clark,corporate
thehartford.com,Hartford Financial Services Group,corporate
kraftheinzcompany.com,Kraft Heinz,corporate
lear.com,Lear,corporate
fluor.com,Fluor,corporate
aecom.com,AECOM,corporate
facebook.com,Facebook,corporate
jabil.com,Jabil Circuit,corporate
centurylink.com,CenturyLink,corporate
supervalu.com,Supervalu,corporate
thekrogerco.com,Kroger,corporate
generalmills.com,General Mills,corporate
southerncompany.com,Southern,corporate
nexteraenergy.com,NextEra Energy,corporate
thermofisher.com,Thermo Fisher Scientific,corporate
aep.com,American Electric Power,corporate
pge.com,PG&E Corp.,corporate
nglenergypartners.com,NGL Energy Partners,corporate
bms.com,Bristol-Myers Squibb,corporate
goodyear.com,Goodyear Tire & Rubber,corporate
nucor.com,Nucor,corporate
amazon.com,Amazon.com,corporate
pnc.com,PNC Financial Services Group,corporate
healthnet.com,Health Net,corporate
micron.com,Micron Technology,corporate
colgatepalmolive.com,Colgate-Palmolive,corporate
fcx.com,Freeport-McMoRan,corporate
conagrafoods.com,ConAgra Foods,corporate
gapinc.com,Gap,corporate
bakerhughes.com,Baker Hughes,corporate
bnymellon.com,Bank of New York Mellon Corp.,corporate
dollartree.com,Dollar Tree,corporate
walgreensbootsalliance.com,Walgreens,corporate
wholefoodsmarket.com,Whole Foods Market,corporate
ppg.com,PPG Industries,corporate
genpt.com,Genuine Parts,corporate
ielp.com,Icahn Enterprises,corporate
pfgc.com,Performance Food Group,corporate
omnicomgroup.com,Omnicom Group,corporate
dish.com,DISH Network,corporate
firstenergycorp.com,FirstEnergy,corporate
monsanto.com,Monsanto,corporate
aes.com,AES,corporate
hp.com,HP,corporate
carmax.com,CarMax,corporate
nov.com,National Oilwell Varco,corporate
nrgenergy.com,NRG Energy,corporate
westerndigital.com,Western Digital,corporate
marriott.com,Marriott International,corporate
officedepot.com,Office Depot,corporate
nordstrom.com,Nordstrom,corporate
kindermorgan.com,Kinder Morgan,corporate
aramark.com,Aramark,corporate
davita.com,DaVita,corporate
apple.com,Apple,corporate
cardinal.com,Cardinal Health,corporate
molinahealthcare.com,Molina Healthcare,corporate
wellcare.com,WellCare Health Plans,corporate
cbscorporation.com,CBS,corporate
visa.com,Visa,corporate
lfg.com,Lincoln National,corporate
ecolab.com,Ecolab,corporate
kelloggcompany.com,Kellogg,corporate
chrobinson.com,C.H. Robinson Worldwide,corporate
textron.com,Textron,corporate
loews.com,Loews,corporate
express-scripts.com,Express Scripts Holding,corporate
itw.com,Illinois Tool Works,corporate
synnex.com,Synnex,corporate
viacom.com,Viacom,corporate
hollyfrontier.com,HollyFrontier,corporate
landolakesinc.com,Land O'Lakes,corporate
devonenergy.com,Devon Energy,corporate
pbfenergy.com,PBF Energy,corporate
yum.com,Yum Brands,corporate
ti.com,Texas Instruments,corporate
cdw.com,CDW,corporate
jpmorganchase.com,J.P. Morgan Chase,corporate
wm.com,Waste Management,corporate
mmc.com,Marsh & McLennan,corporate
chk.com,Chesapeake Energy,corporate
parker.com,Parker-Hannifin,corporate
oxy.com,Occidental Petroleum,corporate
guardianlife.com,Guardian Life Ins. Co. of America,corporate
farmers.com,Farmers Insurance Exchange,corporate
jcpenney.com,J.C. Penney,corporate
conedison.com,Consolidated Edison,corporate
cognizant.com,Cognizant Technology Solutions,corporate
boeing.com,Boeing,corporate
vfc.com,VF,corporate
ameriprise.com,Ameriprise Financial,corporate
csc.com,Computer Sciences,corporate
lb.com,L Brands,corporate
jacobs.com,Jacobs Engineering Group,corporate
principal.com,Principal Financial Group,corporate
rossstores.com,Ross Stores,corporate
bedbathandbeyond.com,Bed Bath & Beyond,corporate
csx.com,CSX,corporate
toysrusinc.com,"Toys ""R"" Us",corporate
microsoft.com,Microsoft,corporate
sands.com,Las Vegas Sands,corporate
leucadia.com,Leucadia National,corporate
dom.com,Dominion Resources,corporate
ussteel.com,United States Steel,corporate
l-3com.com,L-3 Communications,corporate
edisoninvestor.com,Edison International,corporate
entergy.com,Entergy,corporate
adp.com,ADP,corporate
firstdata.com,First Data,corporate
blackrock.com,BlackRock,corporate
bankofamerica.com,Bank of America Corp.,corporate
westrock.com,WestRock,corporate
voya.com,Voya Financial,corporate
sherwin.com,Sherwin-Williams,corporate
hiltonworldwide.com,Hilton Worldwide Holdings,corporate
rrdonnelley.com,R.R. Donnelley & Sons,corporate
stanleyblackanddecker.com,Stanley Black & Decker,corporate
xcelenergy.com,Xcel Energy,corporate
corporate.murphyusa.com,Murphy USA,corporate
cbre.com,CBRE Group,corporate
drhorton.com,D.R. Horton,corporate
wellsfargo.com,Wells Fargo,corporate
elcompanies.com,Estee Lauder,corporate
praxair.com,Praxair,corporate
