id,toss-pull-request-acceptance-rate,toss-review-duration,average-issue-resolution-time,issues-maintainer-response-duration
1,0.8586762075,2.3678859966,62 days 24:29:28.733553,12.1443661972
25707,None,None,None,None
25681,None,None,None,None
25698,1.0,0.0763368056,None,None
25528,None,None,52 days 17:03:28.8125,38.0
25677,None,None,None,None
25811,None,None,82 days 20:59:00,63.5
25495,1.0,0.0001157407,None,None
25574,None,None,None,None
25893,None,None,None,None
25808,0.2058823529,71.2969585905,152 days 20:24:10.772728,47.5794392523
25819,None,None,94 days 29:37:26.090909,21.4444444444
25500,None,None,601 days 20:05:32,55.5714285714
25522,0.2,228.3110416667,391 days 21:42:47.571429,316.0
25501,None,None,None,501.0
25703,None,None,2 days 16:05:52,None
25623,None,None,None,None
25763,0.7837837838,8.8118159323,420 days 31:57:17.625,74.0714285714
25754,0.9545454545,3.0378169092,67 days 22:39:48.111111,32.5
25476,0.725,20.6150595238,32 days 29:52:04.655172,2.9655172414
25900,None,None,None,50.0
25758,None,None,None,None
25884,None,None,None,None
25706,None,None,None,None
25906,None,None,01:05:20,1.25
25594,0.4615384615,3.8742496142,162 days 19:18:10,62.5632183908
25842,None,None,None,None
25513,0.616519174,35.9143397588,456 days 23:24:56.14881,168.2298136646
25814,None,None,161 days 32:58:09.333333,237.0
1,0.8586762075,2.3678859966,62 days 24:29:28.733553,12.1443661972
25570,None,None,None,None
25502,None,None,None,122.0
25647,None,None,None,None
25876,None,None,None,None
25841,None,None,None,None
25462,0.9411764706,26.6240386285,141 days 21:04:02,569.0
25537,0.6388888889,9.4505393806,82 days 15:58:52.041199,35.6487455197
25532,None,None,None,17.0
25614,None,None,None,None
25600,None,None,65 days 26:49:51.617594,16.2945590994
25593,0.5,11.7760756173,None,None
25470,0.4642857143,12.3884606481,27 days 31:08:18.816901,1.7056737589
25459,0.5,0.0306712963,None,None
25454,0.1818181818,25.6520920139,None,None
25465,0.1428571429,26.2913425926,None,None
25479,0.8461538462,5.0224416035,3 days 23:59:16.388889,3.0
25468,0.5,11.8502832372,None,None
