%-(	 NegativeSentiment 
%-)	 PositiveSentiment 
(-:	 PositiveSentiment 
(:	 PositiveSentiment 
(^ ^)	 PositiveSentiment 
(^-^)	 PositiveSentiment 
(^.^)	 PositiveSentiment 
(^_^)	 PositiveSentiment 
(o:	 PositiveSentiment 
)-:	 NegativeSentiment 
):	 NegativeSentiment 
)o:	 NegativeSentiment 
*\o/*	 PositiveSentiment 
--^--@	 PositiveSentiment 
0:)	 PositiveSentiment 
38*	 NegativeSentiment 
8)	 PositiveSentiment 
8-0	 NegativeSentiment 
8/	 NegativeSentiment 
8\	 NegativeSentiment 
8c	 NegativeSentiment 
:#	 NegativeSentiment 
:'(	 NegativeSentiment 
:'-(	 NegativeSentiment 
:(	 NegativeSentiment 
:)	 PositiveSentiment 
:*(	 NegativeSentiment 
:,(	 NegativeSentiment 
:-&	 NegativeSentiment 
:-(	 NegativeSentiment 
:-(o)	 NegativeSentiment 
:-)	 PositiveSentiment 
:-*	 PositiveSentiment 
:-*	 PositiveSentiment 
:-/	 NegativeSentiment 
:-D	 PositiveSentiment 
:-P	 PositiveSentiment 
:-S	 NegativeSentiment 
:-\	 NegativeSentiment 
:-|	 NegativeSentiment 
:-}	 PositiveSentiment 
:/	 NegativeSentiment 
:3	 PositiveSentiment 
:9	 PositiveSentiment 
:D	 PositiveSentiment 
:E	 NegativeSentiment 
:F	 NegativeSentiment 
:O	 NegativeSentiment 
:P	 PositiveSentiment 
:P	 PositiveSentiment 
:S	 NegativeSentiment 
:X	 PositiveSentiment 
:[	 NegativeSentiment 
:[	 NegativeSentiment 
:\	 NegativeSentiment 
:]	 PositiveSentiment 
:_(	 NegativeSentiment 
:b)	 PositiveSentiment 
:o(	 NegativeSentiment 
:o)	 PositiveSentiment 
:p	 PositiveSentiment 
:s	 NegativeSentiment 
:|	 NegativeSentiment  
;^)	 PositiveSentiment 
</3	NegativeSentiment 
<3	 PositiveSentiment 
<o<	 NegativeSentiment 
=(	 NegativeSentiment 
=)	 PositiveSentiment 
=[	 NegativeSentiment 
=]	 PositiveSentiment 
>/	 NegativeSentiment 
>:(	 NegativeSentiment 
>:)	 PositiveSentiment 
>:D	 PositiveSentiment 
>:L	 NegativeSentiment 
>:O	 NegativeSentiment 
>=D	 PositiveSentiment 
>[	 NegativeSentiment 
>\	 NegativeSentiment 
>o>	 NegativeSentiment 
@}->--	 PositiveSentiment 
B(	 NegativeSentiment 
Bc	 NegativeSentiment 
D:	 NegativeSentiment 
X(	 NegativeSentiment 
X(	 NegativeSentiment 
X-(	 NegativeSentiment 
XD	 PositiveSentiment 
XD	 PositiveSentiment 
XO	 NegativeSentiment 
XP	 NegativeSentiment 
XP	 PositiveSentiment 
^_^	 PositiveSentiment 
^o)	 NegativeSentiment 
x3?	 PositiveSentiment 
xD	 PositiveSentiment 
xP	 NegativeSentiment 
|8C	 NegativeSentiment 
|8c	NegativeSentiment 
|D	PositiveSentiment 
}:)	PositiveSentiment
:grinning:	PositiveSentiment
:smile:	PositiveSentiment
:smiley:	PositiveSentiment
:grin:	PositiveSentiment
:sweat_smile:	PositiveSentiment
:joy:	PositiveSentiment
:blush:	PositiveSentiment
:wink:	PositiveSentiment
:relaxed:	PositiveSentiment
:confused:	NegativeSentiment
:frowning_face:	NegativeSentiment
:sob:	NegativeSentiment
:sweat:	NegativeSentiment
:angry:	NegativeSentiment
:rage:	NegativeSentiment
:smiling_imp:	NegativeSentiment
:shit:	NegativeSentiment
:ok_hand:	PositiveSentiment
:v:	PositiveSentiment
:thumbs_up:	PositiveSentiment
:thumbs_down:	NegativeSentiment
:clap:	PositiveSentiment
:tada:	PositiveSentiment
:trophy:	PositiveSentiment
:100:	PositiveSentiment
